date,distances,pph,reports,type
200209150000,10.122506347658815,1.0,1,Tornado
200209220000,12.551171528791839,1.0,1,Tornado
200209250000,12.252889162978105,1.0,1,Hail
200209290000,29.45519365512846,1.0,0,Tornado
200210070000,15.17538445873435,1.0,1,Hail
200210080000,5.173927276634122,1.0,1,Hail
200210090000,9.961084830952636,1.0,1,Tornado
200210100000,26.932959524833255,1.0,0,Thunderstorm Wind
200210120000,21.224321702427,1.0,1,Tornado
200210120000,20.325081792319104,0.0,1,Thunderstorm Wind
200210130000,19.999841660546025,1.0,1,Thunderstorm Wind
200210140000,4.093421218229683,1.0,1,Tornado
200210170000,22.615689820441126,1.0,1,Hail
200210190000,31.253173711404465,1.0,0,Hail
200210200000,6.179689618624372,1.0,1,Tornado
200210210000,17.671391362999227,1.0,1,Tornado
200210210000,16.469176549357535,1.0,1,Thunderstorm Wind
200210220000,6.261130414222125,1.0,1,Thunderstorm Wind
200210230000,15.507999156725909,1.0,1,Hail
200210230000,15.343633881956725,1.0,1,Thunderstorm Wind
200210250000,18.807909761827077,1.0,1,Tornado
200210260000,6.2306058027609845,1.0,1,Hail
200210270000,16.978421961969904,1.0,1,Thunderstorm Wind
200210280000,21.956136457776992,1.0,1,Hail
200210280000,12.17765435152816,1.0,1,Thunderstorm Wind
200211110000,26.78251731981166,1.0,0,Tornado
200211290000,6.967809841239923,1.0,1,Hail
200212130000,19.03497891435383,1.0,1,Tornado
200212190000,15.637773777735834,1.0,1,Hail
200212220000,16.076095917722093,1.0,1,Hail
200301210000,28.66507547866462,1.0,0,Hail
200301210000,11.937895835627677,1.0,1,Thunderstorm Wind
200302040000,18.349442117732707,1.0,1,Thunderstorm Wind
200302060000,12.848938923044596,1.0,1,Thunderstorm Wind
200302140000,17.49190784149808,1.0,1,Thunderstorm Wind
200302170000,21.791472039723754,1.0,1,Thunderstorm Wind
200302200000,5.8236922435083605,1.0,1,Hail
200302230000,27.89152401058391,1.0,0,Hail
200302270000,26.081876237659095,1.0,0,Hail
200302270000,17.339450565072543,1.0,1,Thunderstorm Wind
200302280000,23.37226349904301,1.0,1,Tornado
200303100000,11.82127063952437,1.0,1,Tornado
200303110000,22.801087213172337,1.0,1,Thunderstorm Wind
200303120000,28.8512118085601,1.0,0,Tornado
200303260000,19.241908509126777,1.0,1,Tornado
200303290000,18.054289581733105,1.0,1,Hail
200304090000,27.949644866875282,1.0,0,Hail
200304120000,22.80427039643955,1.0,1,Thunderstorm Wind
200304200000,19.215547298890165,1.0,1,Tornado
200304210000,31.972256195784137,1.0,0,Tornado
200304220000,20.245262356841053,1.0,1,Tornado
200305020000,23.61026608798271,1.0,1,Tornado
200305120000,27.396125343275084,1.0,0,Thunderstorm Wind
200305190000,21.38227360402868,1.0,1,Tornado
200305200000,22.86008332626704,1.0,1,Hail
200305220000,10.789397725201509,1.0,1,Thunderstorm Wind
200305260000,14.611555832510657,1.0,1,Thunderstorm Wind
200305290000,25.315167649981838,1.0,0,Tornado
200306150000,11.358753282141318,1.0,1,Tornado
200306160000,29.400069416185197,1.0,0,Tornado
200306190000,12.304929569635888,1.0,1,Tornado
200307110000,23.101700468533263,1.0,1,Tornado
200307170000,17.041711316018407,1.0,1,Tornado
200307220000,23.97527111682197,1.0,1,Tornado
200307260000,27.87092749973853,1.0,0,Tornado
200307270000,23.461818580879584,1.0,1,Tornado
200307270000,25.577701931843823,1.0,0,Hail
200307280000,22.035256049542085,1.0,1,Tornado
200307300000,17.618934782797066,1.0,1,Tornado
200308080000,5.109635768935862,1.0,1,Tornado
200308100000,13.638073285122871,1.0,1,Tornado
200308150000,15.103091243888032,1.0,1,Tornado
200308200000,25.57563366379318,1.0,0,Tornado
200308240000,20.367496451997333,1.0,1,Hail
200308250000,23.40342955002979,1.0000000000000002,1,Tornado
200308280000,3.551456324998668,1.0,1,Tornado
200308290000,27.219763428599318,1.0,0,Hail
200309020000,19.773491111891722,1.0,1,Tornado
200309030000,22.615689820441126,1.0,1,Hail
200309030000,25.394295186485905,1.0,0,Thunderstorm Wind
200309040000,16.71959789726068,1.0,1,Tornado
200309060000,26.09729600504358,1.0,0,Thunderstorm Wind
200309080000,4.362187926198494,1.0000000000000002,1,Tornado
200309080000,26.128906725648694,1.0,0,Hail
200309110000,28.239700650442327,1.0,0,Tornado
200309120000,13.440689473772366,1.0,1,Tornado
200309130000,19.842641935705284,1.0,1,Thunderstorm Wind
200309140000,19.580886612883695,1.0,1,Tornado
200309150000,22.746118056108635,1.0,1,Hail
200309180000,9.464907696378436,1.0,1,Tornado
200309180000,26.295704108124305,1.0,0,Thunderstorm Wind
200309250000,24.477870222336183,1.0,1,Tornado
200309270000,23.565100194842795,1.0,1,Tornado
200310010000,31.338897428838404,1.0,0,Tornado
200310030000,10.867819905981598,1.0,1,Tornado
200310040000,5.007656878803929,1.0,1,Tornado
200310040000,27.095212301972378,1.0,0,Hail
200310060000,25.121335932461886,1.0,0,Thunderstorm Wind
200310080000,18.167198259834034,1.0,1,Tornado
200310150000,12.266377084855616,1.0,1,Tornado
200310150000,23.739032372401585,1.0,1,Thunderstorm Wind
200310160000,31.985892499021556,1.0,0,Tornado
200310170000,14.47642768943017,1.0,1,Thunderstorm Wind
200310200000,4.731390305241418,1.0,1,Thunderstorm Wind
200310280000,11.19917886065057,1.0,1,Thunderstorm Wind
200310290000,23.439751137555458,1.0,1,Thunderstorm Wind
200311040000,19.544186221851813,1.0,1,Thunderstorm Wind
200311190000,15.227275762618929,1.0,1,Tornado
200311220000,30.31633503535238,1.0,0,Hail
200311230000,17.183485925615276,1.0,1,Hail
200311260000,6.702386201819801,1.0,1,Hail
200311280000,11.399595973659975,1.0,1,Tornado
200312090000,6.487330820930649,1.0,1,Tornado
200312130000,8.570270644443184,1.0,1,Thunderstorm Wind
200312150000,25.534123938779036,1.0,0,Thunderstorm Wind
200401160000,21.323711634838684,1.0,1,Tornado
200401220000,1287.414195988058,1.2086809693474718,0,Thunderstorm Wind
200402020000,5.6160513118483815,1.0000000000000002,1,Tornado
200402060000,16.174502272241504,1.0,1,Tornado
200402070000,1343.79592123048,1.2086809693474718,0,Tornado
200402170000,18.990055239518192,1.0,1,Thunderstorm Wind
200402230000,21.106335430959724,1.0,1,Thunderstorm Wind
200402270000,1209.4529442999694,1.2086809693474718,0,Tornado
200403030000,17.199928516986365,1.0,1,Thunderstorm Wind
200403050000,3.409665544668381,1.0,1,Hail
200403070000,32.160083089432064,1.0,0,Hail
200403120000,24.978773822994583,1.0,1,Hail
200403190000,19.406196348798193,1.0,1,Thunderstorm Wind
200403240000,18.399472526542752,1.0000000000000002,1,Tornado
200403250000,20.25413019571313,1.0,1,Thunderstorm Wind
200403280000,24.99795322994261,1.0,1,Thunderstorm Wind
200404020000,13.164723259734105,1.0,1,Tornado
200404100000,24.222509634323867,1.0,1,Tornado
200404130000,8.662601208516824,1.0,1,Tornado
200404190000,28.167942987513094,1.0,0,Tornado
200404270000,12.991021058720058,1.0,1,Tornado
200404280000,25.82023149255851,1.0,0,Tornado
200405040000,14.648296727113653,1.0,1,Thunderstorm Wind
200405060000,13.263583030547164,1.0,1,Tornado
200405070000,17.597333714922268,1.0,1,Tornado
200405140000,23.93877487800964,1.0,1,Hail
200405200000,11.316992734581474,1.0,1,Tornado
200406280000,17.26147607066678,1.0,1,Hail
200406300000,8.247444130912614,1.0000000000000002,1,Tornado
200407010000,24.196029363775278,1.0,1,Tornado
200407160000,5.603918159947134,1.0,1,Tornado
200407190000,13.44160822107296,1.0,1,Tornado
200407240000,17.50864896385761,1.0,1,Hail
200407260000,13.292869420163546,1.0,1,Hail
200408060000,23.540476184895976,1.0,1,Tornado
200408140000,25.31622970913968,2.0,0,Thunderstorm Wind
200408190000,16.24530563082863,1.0,1,Tornado
200408220000,19.10108965628118,1.0,1,Tornado
200408220000,18.123548742918473,1.0000000000000002,1,Hail
200408280000,13.005502527844206,1.0,1,Tornado
200409070000,18.089519468355252,1.0,1,Hail
200409110000,30.924593760468703,1.0,0,Thunderstorm Wind
200409130000,19.193140809085524,1.0,1,Tornado
200409210000,22.177551526593884,1.0,1,Hail
200409240000,14.52403599543207,1.0,1,Thunderstorm Wind
200410010000,17.921346671176686,1.0,1,Hail
200410020000,27.086335720872828,1.0,0,Tornado
200410060000,18.797554318331915,1.0,1,Hail
200410080000,26.03443181243587,1.0,0,Tornado
200410080000,25.02980580964556,1.0,0,Hail
200410080000,13.909180863559255,0.0,1,Thunderstorm Wind
200410110000,12.898943296168902,1.0,1,Hail
200410150000,11.766399561787791,1.0,1,Tornado
200410200000,27.81219282576075,2.0,0,Thunderstorm Wind
200410220000,6.507252783745215,1.0,1,Thunderstorm Wind
200410240000,19.07818301832599,1.0,1,Hail
200410260000,26.14894263152959,1.0,0,Hail
200410300000,7.568402241773062,1.0,1,Thunderstorm Wind
200410310000,12.675044168676028,1.0,1,Tornado
200410310000,25.568327612641735,1.0,0,Thunderstorm Wind
200411020000,23.310621534226645,1.0,1,Thunderstorm Wind
200411120000,33.83476017745202,1.0,0,Tornado
200411200000,29.737205566328736,1.0,0,Thunderstorm Wind
200411210000,19.619995881283426,1.0,1,Hail
200412070000,29.380207173456615,1.0,0,Tornado
200412220000,4.093421218229683,1.0,1,Tornado
200412220000,29.663285435949284,1.0,0,Thunderstorm Wind
200412290000,17.044828377071134,1.0,1,Tornado
200501040000,6.502450871747542,1.0,1,Thunderstorm Wind
200501090000,16.237444055504874,1.0000000000000002,1,Tornado
200501100000,29.60444917438803,1.0,0,Tornado
200501110000,26.09630827840435,1.0,0,Tornado
200501130000,19.18887750516914,1.0,1,Hail
200501140000,21.12285936155331,1.0,1,Thunderstorm Wind
200501270000,17.932274936168895,1.0,1,Tornado
200501290000,16.500281040073798,1.0,1,Thunderstorm Wind
200502220000,23.981709090039942,1.0,1,Thunderstorm Wind
200502230000,23.84929947404396,1.0000000000000002,1,Tornado
200502260000,26.24045279060792,1.0,0,Tornado
200502270000,26.127756528859027,1.0,0,Tornado
200502270000,28.81442505664588,1.0,0,Hail
200503040000,19.4030741860503,1.0000000000000002,1,Tornado
